sampleSize,timing,keycomp
2391000,3538566447,52466884
2396000,3405527957,52582893
2401000,3859428298,52700986
2406000,3704100803,52818052
2411000,3794688681,52936083
2416000,3695491511,53052719
2421000,3606598960,53170740
2426000,3581279664,53287554
2431000,3601847293,53406010
2436000,3669671096,53522738
2441000,3979944827,53640925
2446000,4461770236,53756838
2451000,3878036453,53876342
2456000,3755692894,53993444
2461000,3794249757,54109512
2466000,3742621990,54226390
2471000,3793784801,54343723
2476000,3895094959,54460918
2481000,3891444874,54579510
2486000,4033674335,54694977
2491000,4309752376,54815485
2496000,4440485169,54931670
2501000,4060002884,55047246
2506000,4331925346,55166378
2511000,4032068278,55282635
2516000,3984698237,55402081
2521000,4255619303,55518885
2526000,4134984492,55636077
2531000,4310887646,55754248
2536000,4040963601,55871220
2541000,3860749905,55988689
2546000,4187740248,56106624
2551000,4376723855,56220636
2556000,4551416092,56342118
2561000,4523048741,56458907
2566000,4752465341,56574917
2571000,4433435713,56694342
2576000,4523752538,56812096
2581000,4035075851,56929557
2586000,4035895700,57049270
2591000,4112040774,57162972
2596000,4151449517,57279441
2601000,3991183094,57398070
2606000,4089672920,57516566
2611000,3961434915,57634486
2616000,4032446412,57750992
2621000,4085799211,57867620
2626000,4059348718,57986512
2631000,4064885627,58103589
2636000,3995057171,58223543
2641000,4274623742,58340237
2646000,4182010895,58458604
2651000,4056886091,58575409
2656000,4869511759,58695195
2661000,4192163834,58813778
2666000,4211774772,58929239
2671000,4388672897,59050041
2676000,4320937444,59166282
2681000,4218778359,59284940
2686000,4274694644,59403348
2691000,4910004336,59520792
2696000,4390848550,59639399
2701000,4350510049,59756686
2706000,4284675749,59874923
2711000,4938790160,59992880
2716000,4694163358,60109758
2721000,4615177486,60228828
2726000,4462618710,60345392
2731000,4367723554,60464506
2736000,4366956333,60582452
2741000,4431467023,60699196
2746000,4603227535,60821712
2751000,4580625937,60937006
2756000,4365742251,61055865
2761000,4539599368,61171503
2766000,4369204090,61292365
2771000,4643926457,61411735
2776000,4575288354,61526681
2781000,4857526906,61644518
2786000,5031253135,61764687
2791000,4786916976,61880909
2796000,4846843380,61998258
2801000,4499014693,62119117
2806000,4696551045,62237554
2811000,4712597694,62353477
2816000,4478733526,62470229
2821000,4718861715,62591062
2826000,4574382721,62708503
2831000,4479101431,62825886
2836000,4499926529,62945886
2841000,4587336627,63061091
2846000,4401710514,63181168
2851000,4726162078,63297974
2856000,5149378335,63415832
2861000,4466184368,63534120
2866000,4352839603,63652717
2871000,4422253298,63771368
2876000,4412140875,63888423
2881000,4425296696,64007413
2886000,4545142584,64126483
2891000,5334687220,64244981
2896000,4550237340,64360817
2901000,4568914780,64478916
2906000,4654124801,64599635
2911000,4779333924,64715744
2916000,4819918940,64833886
2921000,4665596285,64952331
2926000,4989244693,65070370
2931000,4954631139,65188482
2936000,5213578699,65305809
2941000,4710250527,65425766
2946000,4956109600,65543794
2951000,5414306199,65662908
2956000,4986503224,65782185
2961000,5618987948,65897247
2966000,5182021624,66016887
2971000,4776033611,66135971
2976000,4753227992,66253829
2981000,5041573910,66371526
2986000,5076450902,66492380
2991000,4765532969,66608410
2996000,4590075478,66725379
3001000,4528167633,66845222
3006000,4411593132,66964279
3011000,4469507771,67083063
3016000,4533328973,67200302
3021000,5150226228,67317756
3026000,5313006550,67436529
3031000,4422652815,67553121
3036000,4458119182,67671581
3041000,4522373508,67790849
3046000,4604516587,67909554
3051000,4561411766,68027109
3056000,4670355402,68145166
3061000,4612797813,68265010
3066000,4949185057,68382235
3071000,4930816336,68501777
3076000,4544228388,68619998
3081000,4568930032,68738406
3086000,4565917868,68856957
3091000,4675326971,68974696
3096000,4544156532,69092976
3101000,4684096453,69211245
3106000,4581381941,69329372
3111000,4631213903,69448593
3116000,4656508592,69565564
3121000,4580386937,69683912
3126000,4890601644,69802299
3131000,4728051970,69921588
3136000,4652029407,70039281
3141000,4679786570,70157619
3146000,4645849931,70277318
3151000,4667083554,70394147
3156000,4761730785,70516178
3161000,4661814282,70634114
3166000,4830031812,70753828
3171000,4674033853,70872086
3176000,4744551766,70990657
3181000,4834753132,71112058
3186000,4688446243,71230823
3191000,5078986781,71351209
3196000,4884550298,71469240
3201000,4656587043,71589168
3206000,4996449921,71706402
3211000,4696432051,71827935
3216000,4764816025,71943740
3221000,4686867410,72063971
3226000,4763326553,72183971
3231000,4822549019,72302533
3236000,4729620226,72422241
3241000,4778305287,72544169
3246000,4997930383,72661977
3251000,5381263973,72781448
3256000,6018409614,72900306
3261000,6722908175,73018022
3266000,6105866964,73139689
3271000,6072027859,73259055
3276000,4907035512,73377364
3281000,4845494881,73495894
3286000,4857566481,73615059
3291000,4790076665,73735324
3296000,5110973696,73855242
3301000,4930739548,73973350
3306000,4950318863,74092681
3311000,4892284806,74211638
3316000,4786524585,74332178
3321000,5070790945,74449416
3326000,4973178342,74569437
3331000,4933248750,74687440
3336000,4883759199,74808996
3341000,5010603967,74928950
3346000,4955116446,75046834
3351000,4972146603,75168078
3356000,4837056597,75287293
3361000,4954164717,75406013
3366000,4910203835,75525759
3371000,4963680437,75642658
3376000,5028129803,75763182
3381000,5022754150,75882832
3386000,5089636271,75998911
3391000,5004216510,76120613
3396000,4859252270,76240226
3401000,4953344198,76358433
3406000,4967157892,76478118
3411000,5043338253,76600516
3416000,6970006044,76719464
3421000,6889781156,76838210
3426000,6162857491,76955748
3431000,5924647279,77076755
3436000,6056409475,77194988
3441000,6052763278,77315124
3446000,5975566716,77435823
3451000,5924300471,77553488
3456000,5930734046,77671951
3461000,6196720092,77791642
3466000,5793717761,77912773
3471000,5918826713,78032175
3476000,6126884190,78151634
3481000,6139142836,78269847
3486000,5933545159,78389164
3491000,6066797785,78509476
3496000,6252643336,78629862
3501000,6180052498,78748541
3506000,6330035072,78869607
3511000,5956150659,78987306
3516000,6045037835,79108203
3521000,6278519389,79224294
3526000,6214030862,79343824
3531000,6175304515,79463771
3536000,6058344157,79584641
3541000,6182742718,79706068
3546000,6400388727,79825025
3551000,6238697941,79943656
3556000,6317829119,80063305
3561000,6216298114,80181920
3566000,6134310588,80300929
3571000,6101934633,80420905
3576000,6229121876,80542906
3581000,5983749989,80659959
3586000,6496480718,80779862
3591000,6214980985,80899097
3596000,6220932691,81020196
3601000,6536359967,81135869
3606000,6099534664,81257509
3611000,6178168838,81377264
3616000,6045158840,81496161
3621000,6169691607,81617445
3626000,6333401824,81735584
3631000,6134170618,81854588
3636000,6003044827,81974644
3641000,5873795616,82095395
3646000,6406386284,82213011
3651000,6398860636,82333545
3656000,6204063062,82452148
3661000,6102845561,82572850
3666000,6078536804,82690923
3671000,6201445288,82811311
3676000,6169888043,82928595
3681000,6177763118,83048997
3686000,6220730222,83170085
3691000,6203108982,83289438
3696000,6263749311,83410648
3701000,6346539545,83530201
3706000,6607469951,83650188
3711000,6213845909,83769594
3716000,6469440374,83887749
3721000,6248873726,84008727
3726000,6579117316,84128147
3731000,6424963143,84247542
3736000,6295043430,84368905
3741000,6421170603,84486715
3746000,6172971440,84607622
3751000,5943083413,84727789
3756000,7938876825,84846405
3761000,8608260966,84967206
3766000,6226102037,85086122
3771000,6423164219,85205637
3776000,6321712641,85326351
3781000,6350355887,85446322
3786000,6400747023,85567185
3791000,6549539243,85685579
3796000,6234819302,85805256
3801000,6123303984,85927580
3806000,6059158391,86044973
3811000,6340609103,86163959
3816000,7399621331,86285092
3821000,6290740835,86405025
3826000,6620358792,86526066
3831000,9067051722,86645732
3836000,8645256727,86763900
3841000,7294721046,86884778
3846000,6945254990,87004099
3851000,6200851192,87123668
3856000,6998106430,87242146
3861000,7487182783,87362798
3866000,6229621905,87484527
3871000,6785659096,87602695
3876000,6802784982,87724400
3881000,7160559527,87845350
3886000,6950478030,87963432
3891000,6914098758,88084827
3896000,7016956013,88200957
3901000,6912561284,88323533
3906000,6831915029,88441849
3911000,6746633992,88560393
3916000,6876550300,88682168
3921000,6890657871,88805883
3926000,7142210103,88922665
3931000,7405608120,89042051
3936000,7115223327,89163272
3941000,6740116630,89279009
3946000,7177539951,89401170
3951000,7176542084,89521804
3956000,7092790786,89640271
3961000,6643378039,89763298
3966000,7127565447,89881088
3971000,6824689590,90000846
3976000,6481064973,90123125
3981000,6304494918,90240708
3986000,6472931935,90360321
3991000,6693360658,90479358
3996000,6375140858,90600962
4001000,6464461632,90721453
4006000,7302658896,90841214
4011000,6641620266,90960349
4016000,7506196155,91080628
4021000,7371658287,91202016
4026000,6810203313,91320960
4031000,6903173011,91441970
4036000,6797606649,91560924
4041000,6420162490,91679163
4046000,6451877688,91799730
4051000,6534074280,91922021
4056000,6923375413,92041092
4061000,6495593742,92160521
4066000,6767530696,92282623
4071000,6449842072,92400304
4076000,6532525047,92523385
4081000,6598280022,92639321
4086000,7120799262,92761048
4091000,6502314880,92880202
4096000,7176883133,93001181
4101000,8319611003,93122059
4106000,8044421458,93240345
4111000,6725472120,93361609
4116000,6593302339,93480309
4121000,7175386775,93599637
4126000,7172454841,93719835
4131000,7422900863,93838103
4136000,7767837398,93962095
4141000,6726804519,94081102
4146000,6879580953,94199521
4151000,6616265183,94320913
4156000,6628174921,94440895
4161000,6730884580,94561188
4166000,6652769781,94682929
4171000,6863171168,94800224
4176000,7161592546,94919913
4181000,6723353596,95041794
4186000,6678576709,95160448
4191000,6808039851,95280553
4196000,6696417871,95401755
4201000,6713849089,95522298
4206000,6808595562,95644372
4211000,6729822133,95768503
4216000,6860698003,95889983
4221000,6905577921,96012175
4226000,7354782437,96132812
4231000,6928964456,96256396
4236000,6900705149,96377566
4241000,6935932121,96499419
4246000,6907617696,96623058
4251000,6873941397,96743979
4256000,6961046268,96864955
4261000,7779182542,96987414
4266000,9804261297,97109546
4271000,8423618910,97229503
4276000,10472019089,97351430
4281000,7897999591,97474971
4286000,8511161269,97596318
4291000,8178769109,97717186
4296000,6746000687,97841366
4301000,6797936699,97964735
4306000,7273548323,98087214
4311000,7004773796,98208667
4316000,7679117375,98327919
4321000,7607931688,98452519
4326000,6864269453,98572500
4331000,6941705352,98697047
4336000,6856032202,98818633
4341000,6881516120,98939585
4346000,7063005803,99063194
4351000,8196902396,99182845
4356000,7235713452,99309421
4361000,6949298801,99427216
4366000,6905017604,99549711
4371000,7108664328,99673972
4376000,7053365129,99796280
4381000,6958977533,99917874
4386000,6978450147,100036838
4391000,7046862703,100163234
4396000,7182507988,100282193
4401000,7209679743,100404706
4406000,7143499465,100527518
4411000,7038239258,100648346
4416000,7098456393,100771170
4421000,7241532047,100890799
4426000,7041842750,101016026
4431000,7194923853,101138202
4436000,7126591955,101260566
4441000,7272365682,101379495
4446000,7307722062,101503133
4451000,7129788498,101623805
4456000,7172895063,101750907
4461000,7128439461,101868194
4466000,7285278274,101991225
4471000,7257121233,102112948
4476000,7207500562,102236187
4481000,7324773897,102356154
4486000,7415554850,102479177
4491000,7537439167,102600332
4496000,7333417512,102723298
4501000,7281684164,102845829
4506000,7172855294,102968120
4511000,7590577399,103090804
4516000,7774285503,103210669
4521000,7406444724,103335877
4526000,7242465374,103456142
4531000,7517655196,103578824
4536000,7357266170,103700865
