sampleSize,hybridSort,keycomp
801,4273510,80615
802,3565512,80816
803,2527297,81017
804,2439320,81217
805,2439256,81420
806,2422120,81622
807,2462600,81824
808,2472149,82025
809,2462548,82229
810,2418941,82432
811,3353752,82635
812,4224382,82837
813,3966906,83042
814,2434981,83246
815,2480147,83450
816,2447033,83653
817,2465149,83859
818,2454547,84064
819,2417418,84269
820,2396915,84473
821,2421768,84680
822,3310458,84886
823,2739056,85092
824,2810144,85297
825,2724448,85505
826,2613020,85712
827,2828716,85919
828,2779879,86125
829,2781640,86334
830,2721656,86542
831,2758498,86750
832,2777632,86957
833,2811881,87167
834,4490031,87376
835,5681021,87585
836,2828745,87793
837,2799623,88004
838,2825568,88214
839,2762012,88424
840,2754352,88633
841,3464372,88845
842,2803473,89056
843,2799384,89267
844,2780945,89477
845,2613754,89690
846,3197549,89902
847,2825265,90114
848,2831713,90325
849,2828663,90539
850,2848144,90752
851,2920751,90965
852,3924035,91177
853,3863874,91392
854,4099734,91606
855,3787597,91820
856,2755047,92033
857,2490261,92249
858,2417965,92464
859,2523027,92679
860,2447491,92893
861,2507261,93110
862,3061942,93326
863,3136295,93542
864,3029174,93757
865,3033489,93975
866,2983566,94192
867,3591785,94409
868,3239600,94625
869,3166268,94844
870,3126927,95062
871,3190691,95280
872,2627185,95497
873,2562383,95717
874,2612825,95936
875,2578681,96155
876,2528262,96373
877,2666111,96594
878,3053095,96814
879,2480403,97034
880,3456919,97253
881,3083515,97475
882,3144691,97696
883,2750158,97917
884,2550266,98137
885,2636474,98360
886,3201908,98582
887,2710102,98804
888,3178505,99025
889,4375851,99249
890,4576718,99472
891,6458414,99695
892,6475349,99917
893,4526070,100142
894,3085425,100366
895,2695742,100590
896,3130399,100813
897,3194293,101039
898,3123430,101264
899,4685771,101489
900,3054019,101713
901,2862869,101940
902,3166243,102166
903,2947431,102392
904,2816733,102617
905,2940631,102845
906,2826271,103072
907,2821952,103299
908,2924936,103525
909,3569614,103754
910,3064429,103982
911,3081865,104210
912,3065754,104437
913,3155662,104667
914,3046491,104896
915,2860616,105125
916,3010849,105353
917,2983057,105584
918,3081363,105814
919,3031847,106044
920,3310649,106273
921,3569548,106505
922,3529424,106736
923,3481841,106967
924,3794970,107197
925,3247708,107430
926,3792053,107662
927,3662041,107894
928,3603966,108125
929,3771690,108359
930,4942638,108592
931,4421102,108825
932,4132498,109057
933,3906825,109292
934,3991973,109526
935,3892979,109760
936,3125771,109993
937,3999380,110229
938,3388270,110464
939,3925935,110699
940,4231127,110933
941,3958179,111170
942,4097110,111406
943,4074625,111642
944,4116065,111877
945,4121748,112115
946,4028598,112352
947,4969360,112589
948,4208352,112825
949,5156244,113064
950,3357451,113302
951,3160008,113540
952,2805705,113777
953,2627778,114017
954,3408448,114256
955,3058352,114495
956,3639075,114733
957,9011041,114974
958,4825009,115214
959,6500310,115454
960,5417811,115693
961,6778061,115935
962,5213026,116176
963,6320845,116417
964,2853635,116657
965,2790117,116900
966,3008469,117142
967,3518957,117384
968,3795679,117625
969,3411720,117869
970,5651249,118112
971,3818119,118355
972,3433071,118597
973,4513651,118842
974,6603150,119086
975,5342189,119330
976,5612059,119573
977,10700369,119819
978,8564802,120064
979,6221410,120309
980,4310957,120553
981,4353428,120800
982,5501067,121046
983,4322792,121292
984,4380844,121537
985,4569104,121785
986,4211721,122032
987,4105341,122279
988,4493591,122525
989,5033511,122774
990,4823054,123022
991,3878608,123270
992,3960653,123517
993,4469610,123767
994,4182822,124016
995,4720946,124265
996,4311870,124513
997,6022419,124764
998,4193046,125014
999,3967063,125264
1000,3884472,125513
1001,3848533,125765
1002,3926666,126016
1003,3949618,126267
1004,4469716,126517
1005,3888121,126770
1006,3776418,127022
1007,3807514,127274
1008,5041608,127525
1009,4332628,127779
1010,4324666,128032
1011,4555384,128285
1012,5101996,128537
1013,5858630,128792
1014,4794806,129046
1015,4492856,129300
1016,4784309,129553
1017,4478297,129809
1018,4207034,130064
1019,4480034,130319
1020,5912783,130573
1021,3529873,130830
1022,3550058,131086
1023,3753760,131342
1024,4207683,131597
1025,7426414,131855
1026,6858050,132112
1027,4436110,132369
1028,5324179,132625
1029,4006811,132884
1030,8613476,133142
1031,4802799,133400
1032,5875020,133657
1033,8616389,133917
1034,5477331,134176
1035,3852228,134435
1036,3829483,134693
1037,6067092,134954
1038,5687144,135214
1039,10785021,135474
1040,6925067,135733
1041,7565800,135995
1042,5000243,136256
1043,5099248,136517
1044,6874562,136777
1045,5062264,137040
1046,5682548,137302
1047,6347786,137564
1048,5462814,137825
1049,7168571,138089
1050,5982667,138352
1051,4994869,138615
1052,5045169,138877
1053,5275444,139142
1054,5764178,139406
1055,5153330,139670
1056,4081475,139933
1057,3948786,140199
1058,3816380,140464
1059,4028786,140729
1060,3876317,140993
