sampleSize,mergeSort,keycomp
552,1135941,3707
553,982052,3717
554,972890,3726
555,1137402,3735
556,825614,3743
557,816440,3752
558,833431,3760
559,825523,3768
560,819287,3775
561,913030,3785
562,996569,3794
563,1155803,3803
564,908621,3811
565,925565,3820
566,947809,3828
567,1105838,3836
568,944919,3843
569,975385,3852
570,1012401,3860
571,975986,3868
572,1028151,3875
573,1127289,3883
574,1011967,3890
575,991705,3897
576,991711,3903
577,1155200,3914
578,860450,3924
579,909295,3934
580,913757,3943
581,937192,3953
582,929382,3962
583,901594,3971
584,882205,3979
585,896508,3989
586,906228,3998
587,912706,4007
588,921145,4015
589,909231,4024
590,893065,4032
591,905041,4040
592,901794,4047
593,900488,4057
594,944165,4066
595,921071,4075
596,943082,4083
597,936506,4092
598,925018,4100
599,910910,4108
600,921515,4115
601,922645,4124
602,917888,4132
603,920611,4140
604,947904,4147
605,912414,4155
606,933889,4162
607,926064,4169
608,920444,4175
609,932303,4185
610,912098,4194
611,988618,4203
612,1103484,4211
613,984321,4220
614,988195,4228
615,958039,4236
616,933799,4243
617,949841,4252
618,875203,4260
619,969918,4268
620,929699,4275
621,921604,4283
622,945139,4290
623,908851,4297
624,992637,4303
625,916587,4312
626,920907,4320
627,1083068,4328
628,1084654,4335
629,1232120,4343
630,1127324,4350
631,1144861,4357
632,1132955,4363
633,1049393,4371
634,1272734,4378
635,1078246,4385
636,1157651,4391
637,1215579,4398
638,1170707,4404
639,1183088,4410
640,1327327,4415
641,1370176,4426
642,815517,4436
643,1218816,4446
644,1539038,4455
645,1101490,4465
646,990490,4474
647,963689,4483
648,1016564,4491
649,1025690,4501
650,990949,4510
651,1072537,4519
652,950716,4527
653,1041217,4536
654,1046362,4544
655,1197618,4552
656,1082669,4559
657,1083689,4569
658,1547224,4578
659,1264921,4587
660,1766521,4595
661,1571690,4604
662,1129428,4612
663,1112919,4620
664,1163841,4627
665,1180148,4636
666,1305605,4644
667,903113,4652
668,1011519,4659
669,1135847,4667
670,1166440,4674
671,1286071,4681
672,1519008,4687
673,1126297,4697
674,1171668,4706
675,1198221,4715
676,1204116,4723
677,1149720,4732
678,1163329,4740
679,1195363,4748
680,1357202,4755
681,1551331,4764
682,1559179,4772
683,1492319,4780
684,1531174,4787
685,1503066,4795
686,1541051,4802
687,1519812,4809
688,1493395,4815
689,1509681,4824
690,1518488,4832
691,1235139,4840
692,1083406,4847
693,1088703,4855
694,1148968,4862
695,1637203,4869
696,1106368,4875
697,1190415,4883
698,1176306,4890
699,1145380,4897
700,1160119,4903
701,1229987,4910
702,1175811,4916
703,1267747,4922
704,1215237,4927
705,1187320,4937
706,1141655,4946
707,1101336,4955
708,1136295,4963
709,1133407,4972
710,1160063,4980
711,1144110,4988
712,1174868,4995
713,1161230,5004
714,1131620,5012
715,1139473,5020
716,1208698,5027
717,1143605,5035
718,1123181,5042
719,1064023,5049
720,1076666,5055
721,1109070,5064
722,1139705,5072
723,1152934,5080
724,1100426,5087
725,1114703,5095
726,1123796,5102
727,2420503,5109
728,1243816,5115
729,1307122,5123
730,1314953,5130
731,1533708,5137
732,1348019,5143
733,1286452,5150
734,1417624,5156
735,1317098,5162
736,1291447,5167
737,1298925,5176
