Array Size,Top Down Time (us),Bottom Up Time (us)
9710,8345,5684
9720,6806,5262
9730,2852,1910
9740,9539,6876
9750,3885,2666
9760,2828,2438
9770,10789,8042
9780,1917,1429
9790,3619,3617
9800,14923,10620
9810,10821,7651
9820,2291,1724
9830,6080,3382
9840,4927,4276
9850,9482,5891
9860,8084,5990
9870,12507,8788
9880,10354,6992
9890,10387,7950
9900,6728,4053
9910,10170,7978
9920,1179,1150
9930,10155,6896
9940,2922,1923
9950,3868,1614
9960,4439,5301
9970,10996,7565
9980,8516,6595
9990,1644,1211
10000,11020,8380
