sampleSize,timing,keycomp
1936000,3822420849,41878845
1941000,3914744320,41993600
1946000,3951616934,42107159
1951000,3931018676,42222910
1956000,4036350448,42337132
1961000,4057749788,42451279
1966000,4292433384,42567411
1971000,3976411441,42683012
1976000,4011220142,42796301
1981000,4010025938,42911682
1986000,4130487226,43026848
1991000,3863038935,43141033
1996000,3887619002,43256309
2001000,4285781180,43371911
2006000,4099249017,43486822
2011000,3997888773,43601329
2016000,4085058096,43717360
2021000,4237379509,43830937
2026000,4186192182,43945673
2031000,4131285077,44061702
2036000,4219637958,44176213
2041000,4291144410,44291608
2046000,4045330643,44406266
2051000,4080019794,44521786
2056000,4260932319,44638145
2061000,4362363154,44750671
2066000,4080345901,44868135
2071000,4083367857,44980054
2076000,4316398034,45097308
2081000,4479363869,45211016
2086000,4165778220,45328090
2091000,4284111270,45441354
2096000,4079808896,45557708
2101000,4254722920,45674255
2106000,4189221516,45789373
2111000,4191115094,45904609
2116000,4578919150,46025052
2121000,4187878600,46140354
2126000,4463251274,46257269
2131000,4287228557,46375452
2136000,4391518057,46492119
2141000,4428990867,46608457
2146000,4446771839,46726662
2151000,4763823861,46843549
2156000,4577368889,46960414
2161000,4404555335,47077120
2166000,4516942308,47194993
2171000,4447659609,47311906
2176000,4403492086,47427721
2181000,4518939219,47545776
2186000,4643972680,47660532
2191000,4905004140,47780397
2196000,4422168588,47896244
2201000,4614364541,48013492
2206000,4585341036,48129190
2211000,4581308210,48246566
2216000,4543567654,48363849
2221000,4532878077,48482697
2226000,4608048196,48597954
2231000,4474868082,48715918
2236000,4730211077,48832370
2241000,4640313023,48949120
2246000,4928813638,49068012
2251000,4895656882,49186423
2256000,4838900884,49301739
2261000,4840383815,49418640
2266000,4946761101,49535873
2271000,4863979395,49653024
2276000,4619016578,49769360
2281000,4753841835,49888445
2286000,4788546784,50006294
2291000,5052577371,50120207
2296000,4780514030,50239394
2301000,4829886517,50356277
2306000,4838622883,50471249
2311000,4802044286,50590037
2316000,5144402692,50708256
2321000,5002939673,50824480
2326000,4813028475,50941718
2331000,4785732807,51059253
2336000,4852760339,51176349
2341000,4777952428,51292611
2346000,4985894248,51411806
2351000,4889285201,51528094
2356000,5048330858,51643149
2361000,4977080849,51762597
2366000,4847216653,51878495
2371000,4888644419,51996355
2376000,5109663009,52114313
2381000,5236844489,52230134
2386000,5007580710,52350394
2391000,4948033342,52465359
2396000,5055949506,52584238
2401000,5072183505,52700195
2406000,5098089232,52820696
2411000,5229566781,52935503
2416000,5041800719,53052634
2421000,5357114009,53169121
2426000,5175227126,53286840
2431000,5060540648,53404694
2436000,5492948224,53522394
2441000,5155052023,53639170
2446000,5026494376,53757592
2451000,5391855879,53874149
2456000,4982006546,53991764
2461000,5107089737,54110404
2466000,5333693457,54225506
2471000,5120619661,54345454
2476000,5251536969,54461950
2481000,5266068227,54578977
2486000,5343206839,54695358
2491000,5214459832,54814150
2496000,5647254325,54932158
2501000,5351910742,55049037
2506000,5292724531,55165367
2511000,5261446937,55283896
2516000,5219137509,55402967
2521000,5391890706,55519624
2526000,5678179344,55636843
2531000,5359476585,55753489
2536000,5317214898,55870641
2541000,5349813547,55989158
2546000,5670841414,56104904
2551000,5160964894,56225140
2556000,5583039066,56341533
2561000,5391136194,56457918
2566000,5432594280,56575496
2571000,5291136971,56693999
2576000,5401617503,56811367
2581000,5417358323,56928740
2586000,5653540673,57046346
2591000,5505774477,57163494
2596000,5495840751,57283336
2601000,5539206033,57397635
2606000,5644088033,57515386
2611000,5593809565,57634921
2616000,5385499177,57751536
2621000,5464202288,57867917
2626000,5461157063,57986727
2631000,5454452327,58105443
2636000,5542949003,58221449
2641000,5866014275,58341859
2646000,5675269690,58458986
2651000,5629375668,58576664
2656000,5895119303,58695473
2661000,5985425313,58813417
2666000,5972642465,58931253
2671000,5563902234,59049561
2676000,5555765643,59167990
2681000,5794899438,59283597
2686000,5385187618,59402966
2691000,5819738223,59520393
2696000,5840920124,59640094
2701000,5789298000,59756319
2706000,5565405306,59873908
2711000,6082762337,59992347
2716000,5913087223,60110308
2721000,5942729992,60229728
2726000,5654970754,60346271
2731000,5720494869,60463804
2736000,5699745936,60582838
2741000,5773015590,60700403
2746000,5984251719,60820224
2751000,5809961360,60936311
2756000,5821408500,61054051
2761000,5901195856,61174091
2766000,5817907336,61292192
2771000,7393171803,61409467
2776000,6438905549,61525172
2781000,5845544128,61645844
2786000,6693974076,61762558
2791000,6287089736,61882416
2796000,6388106740,62000163
2801000,6155506430,62117095
2806000,5726612884,62236206
2811000,6005289801,62352727
2816000,5875804966,62471575
2821000,6222726164,62590060
2826000,6254132235,62707922
2831000,5929810407,62824953
2836000,6005366884,62944273
2841000,6018142044,63064200
2846000,6207971844,63180283
2851000,6120194604,63298704
2856000,6179821015,63414136
2861000,6113102662,63534732
2866000,6074768988,63652423
2871000,5923925885,63771012
2876000,6624377892,63889543
2881000,6431289643,64006224
2886000,6195950181,64124489
2891000,6038066806,64243562
2896000,6299188100,64361391
2901000,6163068515,64482077
2906000,6202823859,64598798
2911000,6282114847,64718096
2916000,6049280332,64835133
2921000,6050256351,64953199
2926000,6205210461,65070624
2931000,6463391497,65189762
2936000,6207884890,65307682
2941000,6163121566,65424748
2946000,6554572461,65543823
2951000,6394655757,65662937
2956000,6320906145,65780510
2961000,6435542318,65898141
2966000,6164583206,66014385
2971000,6535241520,66136290
2976000,6202373746,66253950
2981000,6687589267,66373027
2986000,6488162363,66489927
2991000,6636952417,66608586
2996000,6463043753,66725992
3001000,6341891854,66844337
3006000,6791965839,66964782
3011000,6372942312,67080169
3016000,6174467321,67200648
3021000,6524686417,67317693
3026000,6339677593,67436430
3031000,7049008463,67552351
3036000,6645521373,67672773
3041000,6616588908,67790092
3046000,6726403143,67909380
3051000,6514140176,68029026
3056000,6371614868,68145115
3061000,6496796383,68265560
3066000,6492283888,68384246
3071000,6484868045,68500768
3076000,6308641106,68620180
3081000,6773976170,68736501
3086000,6556135365,68855881
3091000,6783068497,68974997
3096000,6485886042,69090604
3101000,6562231712,69211664
3106000,6384800085,69330654
3111000,6572969781,69448618
3116000,6695039238,69566407
3121000,6532437548,69685693
3126000,6524657096,69804219
3131000,7164725637,69923582
3136000,6848745662,70040809
3141000,6485497294,70156266
3146000,6617877787,70274337
3151000,7688852112,70394664
3156000,7126240964,70513980
3161000,7036192464,70635250
3166000,6754932191,70754550
3171000,6573844905,70872400
3176000,7334598247,70993301
3181000,6958448513,71111152
3186000,6679464833,71228574
3191000,6700833899,71350726
3196000,6741603816,71469328
3201000,6850218468,71586495
3206000,7252648681,71707336
3211000,6990754700,71827104
3216000,6822413709,71945589
3221000,7047211620,72064384
3226000,7171172698,72185815
3231000,6887348964,72303054
3236000,6799334041,72420837
3241000,6717099111,72542724
3246000,6587529664,72660393
3251000,6986500504,72780866
3256000,6829400818,72899425
3261000,6914942337,73019050
3266000,6762300215,73138979
3271000,7517099769,73257045
3276000,6964664286,73377336
3281000,6866097722,73497719
3286000,7001462500,73617241
3291000,6881583483,73734834
3296000,7233159918,73854501
3301000,6885670229,73974053
3306000,7081389612,74092829
3311000,6906127222,74213711
3316000,7559509413,74329835
3321000,7167233573,74450611
3326000,7061178094,74569589
3331000,7289004421,74687867
3336000,7301620222,74808559
3341000,7035738810,74924276
3346000,6939296735,75047911
3351000,6917744085,75167371
3356000,6884083172,75287314
3361000,7089296303,75405076
3366000,7003405632,75525275
3371000,7109847589,75644257
3376000,7149138707,75762809
3381000,7290269915,75882508
3386000,7095599620,76003691
3391000,7114046626,76122222
3396000,6863060400,76239062
3401000,7656106795,76358863
3406000,7512103406,76481160
3411000,7258300841,76598130
3416000,7228131236,76719569
3421000,7485708856,76838327
3426000,7031996327,76955194
3431000,6956228487,77075529
3436000,7175030787,77197084
3441000,7369214460,77312948
3446000,7395237174,77435870
3451000,7462937474,77552202
3456000,7654688532,77673119
3461000,7486563597,77793739
3466000,7391569057,77910725
3471000,7332725460,78031619
3476000,7075024715,78150624
3481000,7316106273,78272070
3486000,7649091183,78390868
3491000,7337630445,78510076
3496000,7965490225,78631990
3501000,7425488970,78748952
3506000,7480411248,78867628
3511000,7368896187,78987306
3516000,7327796705,79106656
3521000,7541114104,79224802
3526000,7821120972,79345854
3531000,8679988848,79465482
3536000,9326653531,79583720
3541000,8097271258,79704216
3546000,8205633812,79824765
3551000,8065362176,79943671
3556000,7924346118,80062001
3561000,8157234042,80182586
3566000,8841366588,80303487
3571000,9447208702,80421635
3576000,8052001252,80541023
3581000,7919511576,80657369
3586000,8503443708,80778895
3591000,9289570754,80897933
3596000,8456437477,81017360
3601000,9040077090,81137998
3606000,8624424832,81256574
3611000,8651726642,81376767
3616000,7778557734,81495426
3621000,7631367117,81616355
3626000,8069988835,81735238
3631000,8803104698,81854396
