sampleSize,value,timing,keycomp
10000,411,6059615,824448
10000,412,8234842,836484
10000,413,8189268,836387
10000,414,7600765,833757
10000,415,6478076,839221
10000,416,8019946,829458
10000,417,7951988,823586
10000,418,8680354,842414
10000,419,6724945,836564
10000,420,8566722,839483
10000,421,8713979,829493
10000,422,6141434,834045
10000,423,7116827,836353
10000,424,7933746,842214
10000,425,8985063,839592
10000,426,7655391,833187
10000,427,7964755,833302
10000,428,8760786,840793
10000,429,9921117,838463
10000,430,8756407,840535
10000,431,7628871,835003
10000,432,5837291,837380
10000,433,8779866,832844
10000,434,9212614,838158
10000,435,10243970,829265
10000,436,13445869,839518
10000,437,15488930,836926
10000,438,9529742,836077
10000,439,12228013,832651
10000,440,7277827,835235
10000,441,9610810,832000
10000,442,6494424,839756
10000,443,6386690,836774
10000,444,7246630,841503
10000,445,8988742,845129
10000,446,9067976,835177
10000,447,6986089,827314
10000,448,5534893,831322
10000,449,11532196,842492
10000,450,9684329,832708
10000,451,9389288,844649
10000,452,7883384,836464
10000,453,9947510,842562
10000,454,6758685,837687
10000,455,7973294,828469
10000,456,10047287,825110
10000,457,9719973,840789
10000,458,11298210,832264
10000,459,12333840,830776
10000,460,11283311,839627
10000,461,8868910,848591
10000,462,15196927,835094
10000,463,9798217,839287
10000,464,10934618,833082
10000,465,10103371,836279
10000,466,12679831,840352
10000,467,13139272,826448
10000,468,10611703,832987
10000,469,10996500,847419
10000,470,8660656,834697
10000,471,10634058,838328
10000,472,9280837,828658
10000,473,9608641,837634
10000,474,9056459,835597
10000,475,6420612,835897
10000,476,8196032,830658
10000,477,9603316,840902
10000,478,6701094,830262
10000,479,8294579,833965
10000,480,9549816,839461
10000,481,8057546,838086
10000,482,8888213,846263
10000,483,10637547,835509
10000,484,6949874,838718
10000,485,6668447,841729
10000,486,8867852,843081
10000,487,7829080,841061
10000,488,6106993,830746
10000,489,8619647,834835
10000,490,10866010,832872
10000,491,10324885,829633
10000,492,9270374,840856
10000,493,9048531,843240
10000,494,8402878,837784
10000,495,7993761,834082
10000,496,6301427,828615
10000,497,7330457,832683
10000,498,11477024,836433
10000,499,9676656,842839
10000,500,9786326,834314
10000,501,12204698,829584
10000,502,11270218,825516
10000,503,8181648,836018
10000,504,9987460,840785
10000,505,9970569,830536
10000,506,6222621,841567
10000,507,8495059,838554
10000,508,7686086,829725
10000,509,5878934,841171
10000,510,9580692,839828
10000,511,8968097,841588
10000,512,10047082,832804
10000,513,9074481,834353
10000,514,7549454,834458
10000,515,6842715,839520
10000,516,9950784,835806
10000,517,9179827,839307
10000,518,10682138,842428
10000,519,10657597,846598
10000,520,10278129,830403
10000,521,11493303,837335
10000,522,8563379,839209
10000,523,11707812,828583
10000,524,11377037,830002
10000,525,11209324,837590
10000,526,8757225,840223
10000,527,9341373,833328
10000,528,8742245,841038
10000,529,10428793,831032
10000,530,11364285,840667
10000,531,8557385,834593
10000,532,13146712,835178
10000,533,9477914,835253
10000,534,9324191,836760
10000,535,6970419,827641
10000,536,8626887,837115
10000,537,7935778,838262
10000,538,8511788,840656
10000,539,6376329,843340
10000,540,8369528,840384
10000,541,8365756,836738
10000,542,11881047,835776
10000,543,8211988,838697
10000,544,5182257,825280
10000,545,7867749,826390
10000,546,8976077,838924
10000,547,9410498,843311
10000,548,5801112,838127
10000,549,7830417,840816
10000,550,8495730,838365
10000,551,8533037,833285
10000,552,6791931,841417
10000,553,9236381,837062
10000,554,7816468,835679
10000,555,9557029,835469
10000,556,11367866,832359
10000,557,11333900,832225
10000,558,8533806,836279
10000,559,8537870,840895
10000,560,7840569,837374
10000,561,10370963,845138
10000,562,12280766,833357
10000,563,9467807,843092
10000,564,11287954,844993
10000,565,11686583,829897
10000,566,9229078,831636
10000,567,8931498,840431
10000,568,12092598,833115
10000,569,7638222,842044
10000,570,8227585,850129
10000,571,8732049,833603
10000,572,8488349,832251
10000,573,7584492,838438
10000,574,8023839,845534
10000,575,10332584,835316
10000,576,8043266,837729
10000,577,8048890,833690
10000,578,7868027,845906
10000,579,7777695,830410
10000,580,8544078,838258
10000,581,9490085,838780
10000,582,9394366,832350
10000,583,10396990,838718
10000,584,11888738,841154
10000,585,9999072,833788
10000,586,9695363,843832
10000,587,11695278,833398
10000,588,10444475,832489
10000,589,10958056,843818
10000,590,9513532,835388
10000,591,8905687,837562
10000,592,8150661,835766
10000,593,8114572,838408
10000,594,9575956,829119
10000,595,9323615,837480
10000,596,10528335,840532
10000,597,10161750,833605
10000,598,10492604,840669
10000,599,11251722,840912
10000,600,10947688,840687
10000,601,12566828,846566
10000,602,10557894,832654
10000,603,7412419,847964
10000,604,8558789,842835
10000,605,6027038,838683
10000,606,6554335,832749
10000,607,7764395,833608
10000,608,18362129,836982
10000,609,13226686,841666
10000,610,12157882,839172
10000,611,12561897,835390
10000,612,12131121,827761
10000,613,13571069,835485
10000,614,15719487,833901
10000,615,14825880,831904
10000,616,15628031,835094
10000,617,11043071,839105
10000,618,12343528,835517
10000,619,14006273,828141
10000,620,15475159,824690
10000,621,15945618,828565
10000,622,16991224,836085
10000,623,10919392,837722
10000,624,10842875,837414
10000,625,21026631,1601008
10000,626,16052602,1614013
10000,627,16424099,1597483
10000,628,17276274,1612942
10000,629,14021322,1609649
10000,630,20401732,1603034
10000,631,15453966,1608954
10000,632,19210390,1605000
10000,633,20252967,1596539
10000,634,18125247,1605221
10000,635,17287343,1607204
10000,636,19584830,1595381
10000,637,18307345,1606076
10000,638,17194909,1621713
10000,639,16448332,1602473
10000,640,16102992,1604811
10000,641,17154577,1595787
10000,642,14017260,1604772
10000,643,14553566,1597160
10000,644,14113185,1618964
10000,645,15944430,1614345
10000,646,16868858,1604531
10000,647,13846946,1584491
10000,648,10682739,1617716
10000,649,11162596,1605982
10000,650,11355525,1617343
10000,651,10184038,1618412
10000,652,11557710,1616594
10000,653,19197976,1596864
10000,654,16364680,1608921
10000,655,14238678,1605523
10000,656,20592669,1611021
10000,657,20713420,1603783
10000,658,30987491,1600985
10000,659,22889484,1612241
10000,660,22668780,1593223
10000,661,21793983,1622368
10000,662,17798656,1604805
10000,663,19639206,1594216
10000,664,26557461,1615262
10000,665,23393891,1599821
10000,666,15075956,1623423
10000,667,13519485,1609322
10000,668,13714586,1598335
10000,669,16078648,1611306
10000,670,12621509,1605079
10000,671,12435927,1599159
10000,672,15317284,1607124
10000,673,15244134,1613403
10000,674,14445465,1620336
10000,675,12362528,1585678
10000,676,13601037,1614834
10000,677,14071812,1608467
10000,678,11556842,1604843
10000,679,11796019,1595381
10000,680,12263873,1619914
10000,681,14238348,1616245
10000,682,14146757,1624245
10000,683,13760366,1619862
10000,684,12549386,1622618
10000,685,15353496,1595644
10000,686,12131270,1588857
10000,687,12498093,1614051
10000,688,15193307,1608940
10000,689,14782784,1602000
10000,690,12741546,1603976
10000,691,15302051,1595241
10000,692,15960121,1595952
10000,693,16243078,1616167
10000,694,13941541,1599896
10000,695,12855993,1602747
10000,696,11664578,1606556
10000,697,14300624,1612188
10000,698,13806461,1592797
10000,699,13265837,1609300
10000,700,12584535,1607159
10000,701,13227455,1591205
10000,702,15300146,1615636
10000,703,19150116,1600882
10000,704,20502068,1603645
10000,705,19448715,1600845
10000,706,18066822,1611783
10000,707,16230282,1607048
10000,708,15385594,1587760
10000,709,16182516,1587211
10000,710,17336001,1612757
10000,711,15717869,1598201
10000,712,14989320,1602873
10000,713,15311494,1605092
10000,714,19958059,1597152
10000,715,16301392,1600738
10000,716,14120184,1632859
10000,717,15325412,1602769
10000,718,19028030,1588268
10000,719,22836053,1607425
10000,720,19720831,1612459
10000,721,18189424,1608786
10000,722,18983028,1596284
10000,723,17595194,1602743
10000,724,16016725,1622517
10000,725,17523323,1611756
10000,726,15877953,1596089
10000,727,15174652,1610662
10000,728,15718144,1615660
10000,729,22362798,1586066
10000,730,16310716,1608067
10000,731,20033337,1589055
10000,732,17094215,1596072
10000,733,16336308,1608677
10000,734,14763006,1615055
10000,735,14876047,1604966
10000,736,13047976,1594222
10000,737,16296138,1606871
10000,738,14221021,1603236
10000,739,13188696,1606224
10000,740,13334237,1618639
10000,741,14449635,1602893
10000,742,12823893,1616954
10000,743,13935480,1615130
10000,744,15750311,1592093
10000,745,13190966,1593573
10000,746,12917092,1598467
10000,747,13679269,1596628
10000,748,13823639,1593930
10000,749,14857320,1605750
10000,750,13576048,1610322
10000,751,15194232,1595724
10000,752,14538023,1621154
10000,753,18101480,1605821
10000,754,16912641,1606156
10000,755,21344366,1617356
10000,756,18134253,1599248
10000,757,19899897,1602343
10000,758,18543763,1600986
10000,759,18089531,1592354
10000,760,17594702,1610076
10000,761,12565894,1610533
10000,762,11600144,1594811
10000,763,13668691,1599871
10000,764,14138508,1599259
10000,765,13523507,1593233
10000,766,12530272,1610864
10000,767,17969512,1590565
10000,768,12256392,1593708
10000,769,11341231,1598100
10000,770,14250098,1610016
10000,771,16884469,1614389
10000,772,12846672,1606458
10000,773,13063636,1603025
10000,774,13534409,1606806
10000,775,13535992,1602708
10000,776,11510268,1612006
10000,777,12032632,1599535
10000,778,12582378,1598580
10000,779,12791249,1612335
10000,780,14533674,1615402
10000,781,13914840,1612370
10000,782,11844552,1607047
10000,783,13603989,1610586
10000,784,13052805,1602115
10000,785,14444855,1607707
10000,786,13000143,1597718
10000,787,13567292,1624722
10000,788,14123333,1598471
10000,789,19127761,1612869
10000,790,17144092,1603694
10000,791,18238607,1619430
10000,792,15986114,1603767
10000,793,27728493,1605100
10000,794,26426111,1609651
10000,795,23711287,1602560
10000,796,19590924,1609150
10000,797,16976270,1617705
10000,798,20083899,1598482
10000,799,16767446,1623926
10000,800,19523780,1602768
10000,801,15217325,1614492
10000,802,19920707,1615508
10000,803,16297521,1604036
10000,804,15702869,1593538
10000,805,14746408,1606530
10000,806,14330593,1613945
